District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
07,2017 Q1,217,1064,72,1353,16.03843311
07,2017 Q2,271,1225,64,1560,17.37179487
07,2017 Q3,244,1083,84,1411,17.29270021
07,2017 Q4,241,1048,98,1387,17.37563086
07,2018 Q1,250,1023,95,1368,18.2748538
07,2018 Q2,267,1025,65,1357,19.67575534
07,2018 Q3,317,1191,84,1592,19.9120603
07,2018 Q4,245,1002,69,1316,18.61702128
07,2019 Q1,291,987,75,1353,21.50776053
07,2019 Q2,267,1013,55,1335,20.0
07,2019 Q3,311,1104,101,1516,20.51451187
07,2019 Q4,287,1069,101,1457,19.69800961
07,2020 Q1,248,1042,55,1345,18.43866171
07,2020 Q2,211,778,45,1034,20.40618956
07,2020 Q3,229,1015,81,1325,17.28301887
07,2020 Q4,199,1163,72,1434,13.87726639
07,2021 Q1,229,1211,73,1513,15.1354924
07,2021 Q2,200,1082,78,1360,14.70588235
07,2021 Q3,202,1120,81,1403,14.39771917
07,2021 Q4,187,947,63,1197,15.62238931
07,2022 Q1,208,952,66,1226,16.96574225
07,2022 Q2,187,917,96,1200,15.58333333
07,2022 Q3,175,1008,112,1295,13.51351351
07,2022 Q4,160,880,79,1119,14.29848079
07,2023 Q1,146,888,77,1111,13.14131413
07,2023 Q2,156,842,94,1092,14.28571429
07,2023 Q3,167,979,102,1248,13.38141026
07,2023 Q4,180,860,75,1115,16.14349776
07,2024 Q1,185,896,105,1186,15.59865093
07,2024 Q2,139,894,141,1174,11.83986371
07,2024 Q3,187,989,148,1324,14.12386707
07,2024 Q4,158,834,89,1081,14.61609621
07,2025 Q1,161,934,85,1180,13.6440678
07,2025 Q2,164,906,103,1173,13.98124467
07,2025 Q3,154,1009,105,1268,12.14511041
07,2025 Q4,163,932,97,1192,13.67449664
07,2026 Q1,131,938,84,1153,11.36166522
07,2026 Q2,172,905,73,1150,14.95652174
