Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1008,4479,165
2017 Q2,973,3614,143
2017 Q3,898,4175,199
2017 Q4,973,4229,219
2018 Q1,991,3736,181
2018 Q2,1036,4320,181
2018 Q3,1047,3868,215
2018 Q4,1024,3809,175
2019 Q1,987,4152,148
2019 Q2,1106,3915,169
2019 Q3,1105,3488,135
2019 Q4,1097,3757,164
2020 Q1,965,4075,188
2020 Q2,856,2949,123
2020 Q3,765,2442,115
2020 Q4,744,2675,82
2021 Q1,745,3044,90
2021 Q2,653,3179,108
2021 Q3,746,2363,145
2021 Q4,725,3138,118
2022 Q1,760,3165,135
2022 Q2,689,2254,136
2022 Q3,816,2798,176
2022 Q4,716,2644,146
2023 Q1,742,3075,174
2023 Q2,729,3086,151
2023 Q3,801,2583,180
2023 Q4,760,3442,313
2024 Q1,757,3260,229
2024 Q2,835,3369,205
2024 Q3,850,3714,318
2024 Q4,831,3873,257
2025 Q1,776,4358,247
2025 Q2,903,4719,332
2025 Q3,878,5030,463
2025 Q4,832,4065,356
2026 Q1,771,3825,291
2026 Q2,787,4532,397
