District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
08,2017 Q1,831,2344,323
08,2017 Q2,734,2300,327
08,2017 Q3,845,2351,365
08,2017 Q4,783,2514,344
08,2018 Q1,827,2194,310
08,2018 Q2,808,2409,346
08,2018 Q3,836,2449,364
08,2018 Q4,764,2210,301
08,2019 Q1,753,2339,269
08,2019 Q2,810,2239,252
08,2019 Q3,854,2544,395
08,2019 Q4,723,2222,253
08,2020 Q1,753,2267,194
08,2020 Q2,672,1846,190
08,2020 Q3,616,2335,336
08,2020 Q4,630,1828,181
08,2021 Q1,557,2254,135
08,2021 Q2,550,2103,159
08,2021 Q3,544,2096,245
08,2021 Q4,508,2175,202
08,2022 Q1,489,2033,172
08,2022 Q2,527,1866,222
08,2022 Q3,562,2008,273
08,2022 Q4,542,1731,240
08,2023 Q1,535,1764,210
08,2023 Q2,509,1962,229
08,2023 Q3,558,2254,281
08,2023 Q4,546,2183,251
08,2024 Q1,555,2088,250
08,2024 Q2,567,2185,258
08,2024 Q3,539,2406,326
08,2024 Q4,580,2460,245
08,2025 Q1,512,2456,234
08,2025 Q2,549,2526,282
08,2025 Q3,561,2863,336
08,2025 Q4,490,2531,306
08,2026 Q1,517,2499,253
08,2026 Q2,521,2493,280
