District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
18,2017 Q1,716,222,938,76.3326226,23.6673774
18,2017 Q2,663,299,962,68.91891892,31.08108108
18,2017 Q3,614,212,826,74.33414044,25.66585956
18,2017 Q4,545,191,736,74.04891304,25.95108696
18,2018 Q1,711,221,932,76.28755365,23.71244635
18,2018 Q2,635,197,832,76.32211538,23.67788462
18,2018 Q3,605,211,816,74.14215686,25.85784314
18,2018 Q4,681,217,898,75.83518931,24.16481069
18,2019 Q1,676,204,880,76.81818182,23.18181818
18,2019 Q2,803,287,1090,73.66972477,26.33027523
18,2019 Q3,657,284,941,69.81934113,30.18065887
18,2019 Q4,701,266,967,72.49224405,27.50775595
18,2020 Q1,664,213,877,75.71265678,24.28734322
18,2020 Q2,382,77,459,83.22440087,16.77559913
18,2020 Q3,577,84,661,87.29198185,12.70801815
18,2020 Q4,554,91,645,85.89147287,14.10852713
18,2021 Q1,534,93,627,85.16746411,14.83253589
18,2021 Q2,611,144,755,80.92715232,19.07284768
18,2021 Q3,562,124,686,81.92419825,18.07580175
18,2021 Q4,550,101,651,84.48540707,15.51459293
18,2022 Q1,564,114,678,83.18584071,16.81415929
18,2022 Q2,579,146,725,79.86206897,20.13793103
18,2022 Q3,643,153,796,80.77889447,19.22110553
18,2022 Q4,532,124,656,81.09756098,18.90243902
18,2023 Q1,594,137,731,81.25854993,18.74145007
18,2023 Q2,552,135,687,80.34934498,19.65065502
18,2023 Q3,532,150,682,78.0058651,21.9941349
18,2023 Q4,499,156,655,76.18320611,23.81679389
18,2024 Q1,552,153,705,78.29787234,21.70212766
18,2024 Q2,526,136,662,79.45619335,20.54380665
18,2024 Q3,573,163,736,77.85326087,22.14673913
18,2024 Q4,507,136,643,78.84914463,21.15085537
18,2025 Q1,617,169,786,78.49872774,21.50127226
18,2025 Q2,575,156,731,78.65937073,21.34062927
18,2025 Q3,552,185,737,74.89823609,25.10176391
18,2025 Q4,570,155,725,78.62068966,21.37931034
18,2026 Q1,542,127,669,81.01644245,18.98355755
18,2026 Q2,500,155,655,76.33587786,23.66412214
