District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
01,2017 Q1,652,433,1085,60.0921659,39.9078341
01,2017 Q2,652,551,1203,54.19783874,45.80216126
01,2017 Q3,568,559,1127,50.39929015,49.60070985
01,2017 Q4,601,551,1152,52.17013889,47.82986111
01,2018 Q1,593,550,1143,51.88101487,48.11898513
01,2018 Q2,605,656,1261,47.9777954,52.0222046
01,2018 Q3,610,603,1213,50.28854081,49.71145919
01,2018 Q4,650,647,1297,50.1156515,49.8843485
01,2019 Q1,779,612,1391,56.00287563,43.99712437
01,2019 Q2,622,628,1250,49.76,50.24
01,2019 Q3,641,548,1189,53.91084945,46.08915055
01,2019 Q4,581,526,1107,52.48419151,47.51580849
01,2020 Q1,588,476,1064,55.26315789,44.73684211
01,2020 Q2,386,178,564,68.43971631,31.56028369
01,2020 Q3,621,206,827,75.09068924,24.90931076
01,2020 Q4,586,186,772,75.90673575,24.09326425
01,2021 Q1,699,211,910,76.81318681,23.18681319
01,2021 Q2,660,256,916,72.05240175,27.94759825
01,2021 Q3,621,350,971,63.95468589,36.04531411
01,2021 Q4,560,291,851,65.80493537,34.19506463
01,2022 Q1,569,310,879,64.73265074,35.26734926
01,2022 Q2,606,314,920,65.86956522,34.13043478
01,2022 Q3,566,319,885,63.95480226,36.04519774
01,2022 Q4,526,291,817,64.38188494,35.61811506
01,2023 Q1,589,281,870,67.70114943,32.29885057
01,2023 Q2,586,296,882,66.4399093,33.5600907
01,2023 Q3,462,293,755,61.19205298,38.80794702
01,2023 Q4,458,257,715,64.05594406,35.94405594
01,2024 Q1,482,269,751,64.18109188,35.81890812
01,2024 Q2,469,275,744,63.03763441,36.96236559
01,2024 Q3,501,291,792,63.25757576,36.74242424
01,2024 Q4,493,246,739,66.71177267,33.28822733
01,2025 Q1,564,270,834,67.62589928,32.37410072
01,2025 Q2,411,252,663,61.99095023,38.00904977
01,2025 Q3,433,286,719,60.22253129,39.77746871
01,2025 Q4,368,238,606,60.72607261,39.27392739
01,2026 Q1,520,201,721,72.1220527,27.8779473
01,2026 Q2,470,259,729,64.47187929,35.52812071
