District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
07,2017 Q1,136,90,226,60.17699115,39.82300885
07,2017 Q2,128,87,215,59.53488372,40.46511628
07,2017 Q3,138,102,240,57.5,42.5
07,2017 Q4,141,79,220,64.09090909,35.90909091
07,2018 Q1,140,80,220,63.63636364,36.36363636
07,2018 Q2,131,104,235,55.74468085,44.25531915
07,2018 Q3,137,124,261,52.49042146,47.50957854
07,2018 Q4,136,86,222,61.26126126,38.73873874
07,2019 Q1,127,105,232,54.74137931,45.25862069
07,2019 Q2,151,93,244,61.8852459,38.1147541
07,2019 Q3,158,118,276,57.24637681,42.75362319
07,2019 Q4,150,99,249,60.24096386,39.75903614
07,2020 Q1,173,70,243,71.19341564,28.80658436
07,2020 Q2,122,30,152,80.26315789,19.73684211
07,2020 Q3,117,66,183,63.93442623,36.06557377
07,2020 Q4,157,59,216,72.68518519,27.31481481
07,2021 Q1,143,43,186,76.88172043,23.11827957
07,2021 Q2,171,52,223,76.68161435,23.31838565
07,2021 Q3,164,51,215,76.27906977,23.72093023
07,2021 Q4,156,59,215,72.55813953,27.44186047
07,2022 Q1,136,54,190,71.57894737,28.42105263
07,2022 Q2,169,50,219,77.16894977,22.83105023
07,2022 Q3,145,56,201,72.13930348,27.86069652
07,2022 Q4,107,41,148,72.2972973,27.7027027
07,2023 Q1,136,39,175,77.71428571,22.28571429
07,2023 Q2,128,34,162,79.01234568,20.98765432
07,2023 Q3,116,35,151,76.82119205,23.17880795
07,2023 Q4,93,44,137,67.88321168,32.11678832
07,2024 Q1,116,42,158,73.41772152,26.58227848
07,2024 Q2,116,52,168,69.04761905,30.95238095
07,2024 Q3,124,35,159,77.98742138,22.01257862
07,2024 Q4,107,38,145,73.79310345,26.20689655
07,2025 Q1,125,36,161,77.63975155,22.36024845
07,2025 Q2,110,30,140,78.57142857,21.42857143
07,2025 Q3,102,25,127,80.31496063,19.68503937
07,2025 Q4,90,34,124,72.58064516,27.41935484
07,2026 Q1,105,29,134,78.35820896,21.64179104
07,2026 Q2,102,34,136,75.0,25.0
