District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
11,2017 Q1,16,16,20,52
11,2017 Q2,25,9,14,48
11,2017 Q3,20,13,13,46
11,2017 Q4,34,17,23,74
11,2018 Q1,38,16,18,72
11,2018 Q2,32,12,29,73
11,2018 Q3,33,14,18,65
11,2018 Q4,33,18,15,66
11,2019 Q1,57,22,16,95
11,2019 Q2,37,20,17,74
11,2019 Q3,35,20,22,77
11,2019 Q4,30,28,13,71
11,2020 Q1,43,23,11,77
11,2020 Q2,29,13,11,53
11,2020 Q3,33,15,16,64
11,2020 Q4,35,9,16,60
11,2021 Q1,42,11,12,65
11,2021 Q2,53,13,19,85
11,2021 Q3,36,17,15,68
11,2021 Q4,46,15,9,70
11,2022 Q1,52,14,19,85
11,2022 Q2,47,16,15,78
11,2022 Q3,34,13,9,56
11,2022 Q4,31,7,15,53
11,2023 Q1,23,3,7,33
11,2023 Q2,37,9,8,54
11,2023 Q3,27,10,10,47
11,2023 Q4,32,12,7,51
11,2024 Q1,35,11,3,49
11,2024 Q2,31,10,4,45
11,2024 Q3,34,6,12,52
11,2024 Q4,26,5,9,40
11,2025 Q1,26,4,13,43
11,2025 Q2,23,8,7,38
11,2025 Q3,26,12,9,47
11,2025 Q4,21,11,11,43
11,2026 Q1,22,15,8,45
11,2026 Q2,26,8,11,45
