District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
05,2017 Q1,227,810,59,1096,20.71167883
05,2017 Q2,201,812,65,1078,18.64564007
05,2017 Q3,231,834,77,1142,20.22767075
05,2017 Q4,209,751,74,1034,20.21276596
05,2018 Q1,243,830,62,1135,21.40969163
05,2018 Q2,219,788,70,1077,20.33426184
05,2018 Q3,249,767,50,1066,23.35834897
05,2018 Q4,217,734,54,1005,21.5920398
05,2019 Q1,194,849,65,1108,17.50902527
05,2019 Q2,196,840,80,1116,17.56272401
05,2019 Q3,221,757,47,1025,21.56097561
05,2019 Q4,204,702,36,942,21.65605096
05,2020 Q1,196,753,45,994,19.71830986
05,2020 Q2,176,1540,70,1786,9.85442329
05,2020 Q3,195,1610,41,1846,10.56338028
05,2020 Q4,170,1082,52,1304,13.03680982
05,2021 Q1,204,1292,67,1563,13.05182342
05,2021 Q2,220,1236,52,1508,14.58885942
05,2021 Q3,243,1261,45,1549,15.68754035
05,2021 Q4,216,1203,42,1461,14.78439425
05,2022 Q1,191,1295,93,1579,12.09626346
05,2022 Q2,163,1221,68,1452,11.22589532
05,2022 Q3,168,1259,95,1522,11.03810775
05,2022 Q4,148,1280,139,1567,9.44479898
05,2023 Q1,189,1252,100,1541,12.26476314
05,2023 Q2,167,1195,74,1436,11.62952646
05,2023 Q3,152,1153,110,1415,10.74204947
05,2023 Q4,155,1272,98,1525,10.16393443
05,2024 Q1,162,1167,78,1407,11.51385928
05,2024 Q2,141,1161,102,1404,10.04273504
05,2024 Q3,190,1243,95,1528,12.43455497
05,2024 Q4,178,1229,103,1510,11.78807947
05,2025 Q1,148,1021,87,1256,11.78343949
05,2025 Q2,156,1252,100,1508,10.34482759
05,2025 Q3,182,1451,135,1768,10.29411765
05,2025 Q4,132,1457,95,1684,7.83847981
05,2026 Q1,165,1299,105,1569,10.51625239
05,2026 Q2,150,1482,74,1706,8.79249707
05,2026 Q3,1,33,4,38,2.63157895
05,2028 Q1,0,1,0,1,0.0
05,2048 Q2,0,1,0,1,0.0
