Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,5,1,6
2017 Q2,12,4,16
2017 Q3,8,0,8
2017 Q4,12,0,12
2018 Q1,6,3,9
2018 Q2,14,5,19
2018 Q3,6,3,9
2018 Q4,7,2,9
2019 Q1,3,3,6
2019 Q2,10,5,15
2019 Q3,10,2,12
2019 Q4,14,4,18
2020 Q1,7,1,8
2020 Q2,6,3,9
2020 Q3,5,0,5
2020 Q4,4,2,6
2021 Q1,11,3,14
2021 Q2,14,1,15
2021 Q3,7,0,7
2021 Q4,4,2,6
2022 Q1,2,1,3
2022 Q2,6,1,7
2022 Q3,3,3,6
2022 Q4,5,1,6
2023 Q1,8,1,9
2023 Q2,9,2,11
2023 Q3,4,5,9
2023 Q4,7,1,8
2024 Q1,14,1,15
2024 Q2,8,3,11
2024 Q3,8,4,12
2024 Q4,8,1,9
2025 Q1,6,1,7
2025 Q2,8,0,8
2025 Q3,8,2,10
2025 Q4,10,2,12
