District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
09,2017 Q1,3,37,40,7.5,92.5
09,2017 Q2,15,46,61,24.59016393,75.40983607
09,2017 Q3,8,27,35,22.85714286,77.14285714
09,2017 Q4,13,31,44,29.54545455,70.45454545
09,2018 Q1,69,52,121,57.02479339,42.97520661
09,2018 Q2,104,78,182,57.14285714,42.85714286
09,2018 Q3,88,56,144,61.11111111,38.88888889
09,2018 Q4,105,38,143,73.42657343,26.57342657
09,2019 Q1,96,50,146,65.75342466,34.24657534
09,2019 Q2,128,70,198,64.64646465,35.35353535
09,2019 Q3,128,64,192,66.66666667,33.33333333
09,2019 Q4,135,54,189,71.42857143,28.57142857
09,2020 Q1,170,66,236,72.03389831,27.96610169
09,2020 Q2,131,22,153,85.62091503,14.37908497
09,2020 Q3,93,27,120,77.5,22.5
09,2020 Q4,102,27,129,79.06976744,20.93023256
09,2021 Q1,98,43,141,69.5035461,30.4964539
09,2021 Q2,112,31,143,78.32167832,21.67832168
09,2021 Q3,144,38,182,79.12087912,20.87912088
09,2021 Q4,146,38,184,79.34782609,20.65217391
09,2022 Q1,132,31,163,80.98159509,19.01840491
09,2022 Q2,116,37,153,75.81699346,24.18300654
09,2022 Q3,98,20,118,83.05084746,16.94915254
09,2022 Q4,79,30,109,72.47706422,27.52293578
09,2023 Q1,84,21,105,80.0,20.0
09,2023 Q2,86,33,119,72.26890756,27.73109244
09,2023 Q3,99,26,125,79.2,20.8
09,2023 Q4,74,30,104,71.15384615,28.84615385
09,2024 Q1,85,20,105,80.95238095,19.04761905
09,2024 Q2,77,12,89,86.51685393,13.48314607
09,2024 Q3,97,23,120,80.83333333,19.16666667
09,2024 Q4,75,30,105,71.42857143,28.57142857
09,2025 Q1,94,28,122,77.04918033,22.95081967
09,2025 Q2,80,16,96,83.33333333,16.66666667
09,2025 Q3,93,15,108,86.11111111,13.88888889
09,2025 Q4,60,16,76,78.94736842,21.05263158
09,2026 Q1,96,15,111,86.48648649,13.51351351
09,2026 Q2,77,23,100,77.0,23.0
