Disposition Quarter,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,2.88,0.0
2017 Q2,68.5,0.0
2017 Q3,0.0,0.0
2017 Q4,126.0,0.0
2018 Q1,68.87,0.0
2018 Q2,95.8,21.0
2018 Q3,123.0,121.5
2018 Q4,200.2,44.5
2019 Q1,200.35,105.0
2019 Q2,228.04,146.0
2019 Q3,138.18,52.0
2019 Q4,126.23,68.5
2020 Q1,156.82,103.0
2020 Q2,332.45,262.0
2020 Q3,253.2,189.0
2020 Q4,239.11,230.0
2021 Q1,206.37,160.0
2021 Q2,201.27,170.0
2021 Q3,196.21,156.0
2021 Q4,163.54,118.0
2022 Q1,161.73,7.5
2022 Q2,155.62,12.0
2022 Q3,102.64,3.0
2022 Q4,170.65,31.0
2023 Q1,254.88,185.5
2023 Q2,207.17,136.5
2023 Q3,99.54,51.0
2023 Q4,257.57,258.0
2024 Q1,308.42,295.0
2024 Q2,244.33,198.0
2024 Q3,254.59,209.0
2024 Q4,153.05,86.0
2025 Q1,131.7,114.0
2025 Q2,189.78,177.0
2025 Q3,229.83,252.5
2025 Q4,160.1,108.5
2026 Q1,342.71,193.5
2026 Q2,90.86,37.0
