Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,24.625,25.5
2017 Q2,26.0,27.5714
2017 Q3,21.9,27.75
2017 Q4,18.9091,28.2857
2018 Q1,18.4167,22.4444
2018 Q2,20.25,25.25
2018 Q3,25.5833,24.0
2018 Q4,23.8,22.1
2019 Q1,27.1,24.2222
2019 Q2,23.4,21.2727
2019 Q3,27.4545,25.9
2019 Q4,23.6364,20.3333
2020 Q1,21.5,23.1
2020 Q2,22.75,17.125
2020 Q3,21.2222,17.7
2020 Q4,16.8,22.1111
2021 Q1,17.7273,17.7
2021 Q2,16.2,22.4444
2021 Q3,16.0,21.0
2021 Q4,16.3,17.25
2022 Q1,17.2,17.4
2022 Q2,16.5556,22.0
2022 Q3,14.7,19.3333
2022 Q4,12.2,17.0
2023 Q1,13.875,19.375
2023 Q2,13.8889,14.0
2023 Q3,16.1111,16.2222
2023 Q4,13.5833,17.375
2024 Q1,17.6667,14.3
2024 Q2,12.3,18.125
2024 Q3,21.75,16.7778
2024 Q4,15.5556,21.5
2025 Q1,18.25,17.5556
2025 Q2,18.75,18.4286
2025 Q3,18.625,19.5
2025 Q4,21.5714,16.1429
2026 Q1,19.8333,17.625
2026 Q2,23.5714,22.0
