Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,338,191,529,63.89413989,36.10586011
2017 Q2,355,224,579,61.31260794,38.68739206
2017 Q3,272,191,463,58.74730022,41.25269978
2017 Q4,297,182,479,62.00417537,37.99582463
2018 Q1,329,188,517,63.63636364,36.36363636
2018 Q2,362,278,640,56.5625,43.4375
2018 Q3,355,216,571,62.17162872,37.82837128
2018 Q4,361,240,601,60.06655574,39.93344426
2019 Q1,382,175,557,68.58168761,31.41831239
2019 Q2,400,221,621,64.41223833,35.58776167
2019 Q3,340,195,535,63.55140187,36.44859813
2019 Q4,310,175,485,63.91752577,36.08247423
2020 Q1,360,171,531,67.79661017,32.20338983
2020 Q2,190,52,242,78.51239669,21.48760331
2020 Q3,280,120,400,70.0,30.0
2020 Q4,252,131,383,65.79634465,34.20365535
2021 Q1,295,132,427,69.08665105,30.91334895
2021 Q2,327,135,462,70.77922078,29.22077922
2021 Q3,377,164,541,69.6857671,30.3142329
2021 Q4,271,132,403,67.24565757,32.75434243
2022 Q1,297,148,445,66.74157303,33.25842697
2022 Q2,339,166,505,67.12871287,32.87128713
2022 Q3,293,124,417,70.26378897,29.73621103
2022 Q4,313,160,473,66.17336152,33.82663848
2023 Q1,310,145,455,68.13186813,31.86813187
2023 Q2,282,151,433,65.12702079,34.87297921
2023 Q3,267,163,430,62.09302326,37.90697674
2023 Q4,310,154,464,66.81034483,33.18965517
2024 Q1,319,184,503,63.4194831,36.5805169
2024 Q2,269,200,469,57.35607676,42.64392324
2024 Q3,285,187,472,60.38135593,39.61864407
2024 Q4,243,161,404,60.14851485,39.85148515
2025 Q1,289,166,455,63.51648352,36.48351648
2025 Q2,292,147,439,66.51480638,33.48519362
2025 Q3,216,147,363,59.50413223,40.49586777
2025 Q4,211,130,341,61.87683284,38.12316716
2026 Q1,238,149,387,61.49870801,38.50129199
2026 Q2,186,104,290,64.13793103,35.86206897
